Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
61,3.0,0.0,0.0,97.0,1.0,97.0,3299.0,0.1,79.01700000000008,0.0,0.0,840.181188583374,,,,,,,,,,,,,,,,,,,,,32.54398526255136,25.105760040341956,76.01218178091257,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,171.0,2.0,74.0,3373.0,0.1,63.00999999999998,0.0,0.0,847.5914857387543,,,,,,,,,,,,,,,,,,,,,27.522439818211986,19.85966910781596,61.09546929657616,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,250.0,3.0,79.0,3452.0,0.1,68.01000000000005,0.0,0.0,855.3947083950043,,,,,,,,,,,,,,,,,,,,,29.88459689655709,21.260695500062152,65.78061228913798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,284.0,4.0,34.0,3486.0,0.1,26.00700000000001,0.0,0.0,859.1361827850342,,,,,,,,,,,,,,,,,,,,,10.998768816336705,8.804071879195629,25.684384945751116,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,323.0,5.0,39.0,3525.0,0.1,30.00800000000001,0.0,0.0,863.2869374752045,,,,,,,,,,,,,,,,,,,,,12.573202423156967,10.084089981477542,29.57676906686154,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,402.0,6.0,79.0,3604.0,0.1,68.01000000000005,0.0,0.0,871.1933879852295,,,,,,,,,,,,,,,,,,,,,29.88459689655709,21.260695500062152,65.78061228913798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,545.0,7.0,143.0,3747.0,0.1,134.00800000000004,0.0,0.0,885.2272434234619,,,,,,,,,,,,,,,,,,,,,61.42156458032632,38.428509833659604,125.47554187321796,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,577.0,8.0,32.0,3779.0,0.1,22.00900000000001,0.0,0.0,888.6384220123291,,,,,,,,,,,,,,,,,,,,,8.538599429074615,7.665148952744145,21.779301642252477,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,656.0,9.0,79.0,3858.0,0.1,71.00700000000003,0.0,0.0,896.5840599536896,,,,,,,,,,,,,,,,,,,,,32.48595061442411,21.636547081855216,68.57769671719818,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,683.0,10.0,27.0,3885.0,0.1,20.006000000000007,0.0,0.0,899.4897012710571,,,,,,,,,,,,,,,,,,,,,8.467132067733255,6.90632091506694,19.8170016204104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,716.0,11.0,33.0,3918.0,0.1,25.00700000000001,0.0,0.0,903.0481288433075,,,,,,,,,,,,,,,,,,,,,10.524225430140683,8.500768286470283,24.709094039790905,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,745.0,12.0,29.0,3947.0,0.1,21.00700000000001,0.0,0.0,906.234297990799,,,,,,,,,,,,,,,,,,,,,8.635087961839186,7.272727817145507,20.79815796688246,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
